trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
63,False,"{'a': 0.355, 'e': 0.5325918010068972}",20,0,-25.440764225353064,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
64,False,"{'a': 0.355, 'e': 0.5272924240430485}",35,7,-19.9841002648408,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 0}",1
65,False,"{'a': 0.355, 'e': 0.522045776761016}",25,0,-116.09113620567257,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
66,False,"{'a': 0.355, 'e': 0.5168513344916992}",25,3,-21.75927220328024,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 0}",1
67,False,"{'a': 0.355, 'e': 0.5117085777865424}",25,7,-56.73334269141528,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
68,False,"{'a': 0.355, 'e': 0.5066169923655895}",20,0,-93.8976346520582,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
69,False,"{'a': 0.355, 'e': 0.5015760690660555}",25,3,-51.3838069781705,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 1}",1
70,False,"{'a': 0.355, 'e': 0.49658530379140947}",25,17,12.614855320932419,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.355, 'e': 0.4916441974609651}",25,13,-7.329855178256166,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
72,False,"{'a': 0.355, 'e': 0.4867522559599717}",20,6,-51.1532651464296,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
73,False,"{'a': 0.355, 'e': 0.4819089900902025}",35,4,-27.78810881013283,"{0: 24, 1: 2, 2: 5, 3: 0, 4: 0}",1
74,False,"{'a': 0.355, 'e': 0.47711391552103444}",35,20,7.34718958310655,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.355, 'e': 0.4723665527410147}",20,0,-117.62110786559066,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
76,False,"{'a': 0.355, 'e': 0.4676664270099093}",20,0,-32.11526156773642,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
77,False,"{'a': 0.355, 'e': 0.463013068311228}",20,0,-45.41304234238375,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
